1.213977	-6.609304	-5.395327	0.809318
1.250881	-6.647492	-5.396611	0.833921
1.211665	-6.607479	-5.395813	0.807777
1.249786	-6.647350	-5.397564	0.833190
1.212123	-6.609243	-5.397120	0.808082
1.227218	-6.623972	-5.396754	0.818145
1.255204	-6.652468	-5.397264	0.836802
1.225481	-6.624139	-5.398659	0.816987
1.222336	-6.618710	-5.396374	0.814890
1.207426	-6.603250	-5.395824	0.804950
1.233433	-6.630409	-5.396976	0.822289
1.258261	-6.653552	-5.395291	0.838841
1.222656	-6.619280	-5.396624	0.815104
1.233883	-6.630973	-5.397090	0.822589
1.241353	-6.639007	-5.397655	0.827568
1.222586	-6.619362	-5.396776	0.815058
1.224142	-6.621416	-5.397274	0.816095
1.250398	-6.648684	-5.398287	0.833599
1.224881	-6.620870	-5.395989	0.816587
1.240785	-6.639611	-5.398827	0.827190
1.261841	-6.660402	-5.398560	0.841227
1.220333	-6.617158	-5.396825	0.813555
1.239069	-6.634053	-5.394983	0.826046
1.214812	-6.611772	-5.396961	0.809874
1.235192	-6.630156	-5.394964	0.823461
1.226620	-6.624240	-5.397620	0.817747
1.260172	-6.658473	-5.398301	0.840114
1.220690	-6.615706	-5.395016	0.813793
1.223747	-6.617459	-5.393711	0.815832
1.223088	-6.619883	-5.396795	0.815392
1.232128	-6.627187	-5.395059	0.821419
1.246148	-6.642799	-5.396651	0.830765
1.231417	-6.628685	-5.397268	0.820945
1.235722	-6.632129	-5.396407	0.823815
1.245269	-6.640992	-5.395723	0.830179
1.227649	-6.624165	-5.396517	0.818432
1.221441	-6.617938	-5.396497	0.814294
1.232544	-6.628194	-5.395650	0.821696
1.232476	-6.629853	-5.397378	0.821651
1.245190	-6.643019	-5.397829	0.830127
1.215133	-6.612999	-5.397867	0.810089
1.237530	-6.633961	-5.396432	0.825020
1.227196	-6.625880	-5.398683	0.818131
1.218090	-6.614442	-5.396352	0.812060
1.231201	-6.626531	-5.395330	0.820801
1.235621	-6.632410	-5.396789	0.823747
1.233172	-6.630137	-5.396966	0.822114
1.231819	-6.627302	-5.395483	0.821213
1.216030	-6.613426	-5.397397	0.810686
1.259354	-6.657973	-5.398619	0.839569
1.236514	-6.633149	-5.396635	0.824343
1.231580	-6.628207	-5.396627	0.821053
1.224449	-6.619618	-5.395169	0.816299
1.242566	-6.638707	-5.396142	0.828377
1.240294	-6.637677	-5.397382	0.826863
1.228500	-6.625954	-5.397454	0.819000
1.208539	-6.606395	-5.397856	0.805693
1.258411	-6.656516	-5.398105	0.838941
1.230822	-6.627023	-5.396201	0.820548
1.219769	-6.616943	-5.397174	0.813179
1.242355	-6.640228	-5.397873	0.828237
1.231260	-6.628810	-5.397550	0.820840
1.223963	-6.622191	-5.398228	0.815975
1.246277	-6.643518	-5.397241	0.830851
1.232303	-6.629544	-5.397241	0.821536
1.238075	-6.636974	-5.398899	0.825383
1.247820	-6.645700	-5.397881	0.831880
1.225676	-6.622590	-5.396914	0.817118
1.234356	-6.631407	-5.397051	0.822904
1.232503	-6.631175	-5.398671	0.821669
1.244772	-6.641646	-5.396874	0.829848
1.211233	-6.608072	-5.396839	0.807489
1.258821	-6.657143	-5.398322	0.839214
1.230176	-6.627296	-5.397120	0.820117
1.221591	-6.620593	-5.399002	0.814394
1.237488	-6.633246	-5.395758	0.824992
1.218215	-6.615024	-5.396809	0.812143
1.243217	-6.641424	-5.398207	0.828812
1.235916	-6.632740	-5.396823	0.823944
1.230788	-6.627640	-5.396852	0.820525
1.243347	-6.642306	-5.398959	0.828898
1.247588	-6.645523	-5.397935	0.831725
1.219274	-6.615329	-5.396055	0.812849
1.233458	-6.631264	-5.397806	0.822305
1.232858	-6.630236	-5.397378	0.821905
1.224008	-6.620786	-5.396778	0.816005
1.234600	-6.630401	-5.395801	0.823067
1.260020	-6.655547	-5.395526	0.840014
1.222660	-6.620860	-5.398200	0.815107
1.248153	-6.645436	-5.397283	0.832102
1.239033	-6.636787	-5.397754	0.826022
1.239873	-6.636740	-5.396867	0.826582
1.222971	-6.619342	-5.396371	0.815314
1.236929	-6.634575	-5.397646	0.824620
1.230920	-6.628182	-5.397262	0.820613
1.263416	-6.660847	-5.397432	0.842277
1.208336	-6.606294	-5.397958	0.805558
1.244984	-6.642056	-5.397072	0.829990
1.228069	-6.624441	-5.396372	0.818713
1.220221	-6.618544	-5.398323	0.813481
